Id2,Per capita income
17031010100,26590
17031010201,22554
17031010202,19657
17031010300,33634
17031010400,20681
17031010501,25888
17031010502,27246
17031010503,24846
17031010600,29102
17031010701,29523
17031010702,20431
17031020100,25725
17031020200,31569
17031020301,32446
17031020302,34076
17031020400,31420
17031020500,17911
17031020601,23696
17031020602,21122
17031020701,36176
17031020702,17739
17031020801,27801
17031020802,21755
17031020901,18892
17031020902,18840
17031030101,35582
17031030102,38917
17031030103,28981
17031030104,20057
17031030200,46033
17031030300,25710
17031030400,35835
17031030500,47390
17031030601,27276
17031030603,33074
17031030604,31011
17031030701,26808
17031030702,69989
17031030703,35540
17031030706,39876
17031030800,59052
17031030900,51169
17031031000,49121
17031031100,41575
17031031200,26277
17031031300,31742
17031031400,56331
17031031501,21774
17031031502,23506
17031031700,37413
17031031800,50959
17031031900,45551
17031032100,47025
17031040100,44057
17031040201,36582
17031040202,26709
17031040300,43309
17031040401,49734
17031040402,63382
17031040600,50066
17031040700,46474
17031040800,43747
17031040900,62380
17031050100,53387
17031050200,57295
17031050300,45297
17031050500,64262
17031050600,81782
17031050700,74502
17031050800,65728
17031050900,54560
17031051000,60570
17031051100,69238
17031051200,79240
17031051300,84812
17031051400,66310
17031060100,69126
17031060200,59098
17031060300,75127
17031060400,72448
17031060500,53936
17031060800,69585
17031060900,52930
17031061000,66760
17031061100,66078
17031061200,66510
17031061500,67579
17031061800,43281
17031061901,54320
17031061902,65887
17031062000,57437
17031062100,60598
17031062200,65576
17031062300,103159
17031062400,91747
17031062500,94414
17031062600,90474
17031062700,77614
17031062800,86711
17031062900,79545
17031063000,68095
17031063100,68171
17031063200,62714
17031063301,46216
17031063302,61209
17031063303,74115
17031063400,66132
17031070101,63602
17031070102,78498
17031070103,50318
17031070200,64879
17031070300,67118
17031070400,78219
17031070500,97731
17031070600,72778
17031070700,75829
17031071000,41969
17031071100,62114
17031071200,73475
17031071300,95255
17031071400,73262
17031071500,78862
17031071600,92357
17031071700,87520
17031071800,83423
17031080100,121323
17031080201,78353
17031080202,94718
17031080300,106804
17031080400,43885
17031081000,44118
17031081100,70671
17031081201,114165
17031081202,119208
17031081300,101011
17031081401,86015
17031081402,102498
17031081403,105851
17031081500,103193
17031081600,103517
17031081700,96825
17031081800,101358
17031081900,93508
17031090100,49013
17031090200,54451
17031090300,42785
17031100100,46347
17031100200,39505
17031100300,40965
17031100400,37535
17031100500,41192
17031100600,34987
17031100700,39272
17031110100,41521
17031110200,33675
