ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
11553488,JC101094,12/31/2018 23:45,032XX N SHEFFIELD AVE,890,THEFT,FROM BUILDING,BAR OR TAVERN,FALSE,FALSE,1924,19,44,6,6,1169040,1921647,2018,1/10/2019 15:16,41.94051886,-87.6541242,"(41.940518859, -87.6541242)",38,"4,449",57,731,25,22,5,28
11555436,JC103293,12/31/2018 22:45,013XX W MADISON ST,890,THEFT,FROM BUILDING,RESTAURANT,FALSE,FALSE,1224,12,27,28,6,1167331,1900145,2018,1/10/2019 15:16,41.88155303,-87.66102478,"(41.881553034, -87.661024778)",41,"14,917",29,91,46,44,15,92
11552507,JB574323,12/31/2018 19:00,006XX N CLARK ST,890,THEFT,FROM BUILDING,RESTAURANT,FALSE,FALSE,1832,18,42,8,6,1175432,1904270,2018,1/10/2019 15:16,41.89269427,-87.63115452,"(41.892694268, -87.631154519)",22,"4,446",37,670,36,55,14,72
11552368,JB574163,12/31/2018 18:50,012XX S ASHLAND AVE,860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,TRUE,FALSE,1233,12,28,28,6,1165916,1894587,2018,1/10/2019 15:16,41.86633173,-87.66637917,"(41.866331725, -87.666379171)",48,"14,920",29,96,23,43,15,150
11552547,JB574146,12/31/2018 18:29,0000X W 87TH ST,860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,FALSE,FALSE,634,6,21,44,6,1176822,1847277,2018,1/10/2019 15:16,41.73626912,-87.62776824,"(41.736269116, -87.627768243)",18,"21,554",40,1,13,59,20,242
11552318,JB574132,12/31/2018 17:35,016XX E 95TH ST,860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,TRUE,FALSE,431,4,7,51,6,1188861,1842311,2018,1/10/2019 15:16,41.7223626,-87.58382047,"(41.722362598, -87.58382047)",43,"21,202",48,252,37,25,19,249
11552155,JB573925,12/31/2018 15:20,065XX W FULLERTON AVE,860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,FALSE,FALSE,2512,25,36,19,6,1132396,1915238,2018,1/10/2019 15:16,41.92364955,-87.78895486,"(41.923649552, -87.788954862)",39,"4,454",19,137,44,3,6,183
11552195,JB573847,12/31/2018 14:15,001XX E LAKE ST,890,THEFT,FROM BUILDING,RESTAURANT,FALSE,FALSE,114,1,42,32,6,1177375,1901760,2018,1/10/2019 15:16,41.88576285,-87.62409493,"(41.885762846, -87.624094929)",22,"14,309",38,580,36,42,22,87
11552406,JB574008,12/31/2018 14:00,0000X N MICHIGAN AVE,890,THEFT,FROM BUILDING,RESTAURANT,FALSE,FALSE,112,1,42,32,6,1177309,1900530,2018,1/10/2019 15:16,41.88238916,-87.62437461,"(41.882389156, -87.624374606)",22,"14,309",38,580,36,41,22,87
11552255,JB574035,12/31/2018 13:00,014XX W DEVON AVE,890,THEFT,FROM BUILDING,GROCERY FOOD STORE,FALSE,FALSE,2432,24,49,1,6,1165316,1942608,2018,1/10/2019 15:16,41.99811678,-87.66721215,"(41.998116778, -87.667212152)",46,"4,451",76,358,16,14,11,50
11552054,JB573737,12/31/2018 12:43,0000X S WABASH AVE,890,THEFT,FROM BUILDING,RESTAURANT,FALSE,FALSE,112,1,42,32,6,1176814,1900247,2018,1/10/2019 15:16,41.8816238,-87.62620079,"(41.881623795, -87.626200793)",22,"14,311",38,367,36,34,22,93
11554078,JC101699,12/31/2018 11:50,0000X W HUBBARD ST,820,THEFT,$500 AND UNDER,BAR OR TAVERN,FALSE,FALSE,1831,18,42,8,6,1176142,1903314,2018,1/10/2019 15:16,41.89005498,-87.62857584,"(41.89005498, -87.628575838)",22,"4,446",37,669,36,55,14,73
