Community Area,Community Area Name,Birth Rate,Low Birth Weight,Prenatal Care Beginning in First Trimester,Preterm Births,Teen Birth Rate,Infant Mortality Rate,Below Poverty Level,Crowded Housing,Dependency,No High School Diploma,Per Capita Income,Unemployment
1,Rogers Park,16.4,11,73,11.2,40.8,6.4,22.7,7.9,28.8,18.1,23714,7.5
2,West Ridge,17.3,8.1,71.1,8.3,29.9,5.1,15.1,7,38.3,19.6,21375,7.9
3,Uptown,13.1,8.3,77.7,10.3,35.1,6.5,22.7,4.6,22.2,13.6,32355,7.7
4,Lincoln Square,17.1,8.1,80.5,9.7,38.4,3.8,9.5,3.1,25.6,12.5,35503,6.8
5,North Center,22.4,9.1,80.4,9.8,8.4,2.7,7.1,0.2,25.5,5.4,51615,4.5
6,Lake View,13.5,6.3,79.1,8.1,15.8,2.2,10.5,1.2,16.5,2.9,58227,4.7
7,Lincoln Park,13.2,6.6,75.7,7.8,2.1,2.4,11.8,0.6,20.4,4.3,71403,4.5
8,Near North Side,10.7,8.6,69.7,9.6,34,6.5,13.4,2,23.3,3.4,87163,5.2
9,Edison Park,11.3,7.9,86.6,12.6,3.9,4.6,5.1,0.6,36.6,8.5,38337,7.4
10,Norwood Park,10.4,4.9,89.4,8.3,3.4,4.4,5.9,2.3,40.6,13.5,31659,7.3
11,Jefferson Park,13.8,6.6,82.9,7.7,28.6,8.3,6.4,1.9,34.4,13.5,27280,9
12,Forest Glen,10,7.6,79.3,10.3,6.3,3.8,6.1,1.3,40.6,6.3,41509,5.5
13,North Park,10.9,9.7,79.1,10.2,10.5,5.4,12.4,3.8,39.7,18.2,24941,7.5
14,Albany Park,18.3,8.5,73.3,8.3,44.5,4.9,17.1,11.2,32.1,34.9,20355,9
15,Portage Park,14.2,6.9,79.8,8.7,41.7,4.7,12.3,4.4,34.6,18.7,23617,10.6
16,Irving Park,15.8,7.7,79.9,10.2,37,5.3,10.8,5.6,31.6,22,26713,10.3
17,Dunning,12.5,6.8,82.7,9.9,19.9,4.9,8.3,4.8,34.9,18,26347,8.6
18,Montclaire,17.1,8.3,77.6,8.8,61.5,4.6,12.8,5.8,35,28.4,21257,10.8
19,Belmont Cragin,20,6.9,74.1,7.6,68.2,5.6,18.6,10,36.9,37,15246,11.5
20,Hermosa,20.3,6.7,77.5,8.8,69.7,9.3,19.1,8.4,36.3,41.9,15411,12.9
21,Avondale,18.5,7.3,74.4,7.5,63.4,5.7,14.6,5.8,30.4,25.7,20489,9.3
22,Logan Square,18.2,7.2,78.2,9.4,66.1,4.3,17.2,3.2,26.7,18.5,29026,7.5
23,Humboldt Park,19.2,12.3,70.9,11.7,77.9,9.8,32.6,11.2,38.3,36.8,13391,12.3
24,West Town,18.8,9.1,75.5,10.8,49.2,5.1,15.7,2,22.9,13.4,39596,6
25,Austin,18,15.4,72.9,14.3,81.8,13.3,27,5.7,39,25,15920,21
26,West Garfield Park,20.1,17,71.4,17.5,114.9,19,40.3,8.9,42.5,26.2,10951,25.2
27,East Garfield Park,19.4,17.5,73.2,16.3,93.2,11,39.7,7.5,43.2,26.2,13596,16.4
28,Near West Side,18.2,9,77.6,10.5,36.7,9.1,21.6,3.8,22.9,11.2,41488,10.7
29,North Lawndale,20.6,15.3,75.8,15.2,108.9,14.1,38.6,7.2,40.9,30.4,12548,18.5
30,South Lawndale,19.5,7.6,85.1,9.6,77.5,5.9,28.1,17.6,33.1,58.7,10697,11.5
31,Lower West Side,16.5,4.5,80.8,8.8,49,5.4,27.2,10.4,35.2,44.3,15467,13
32,Loop,9.4,5.3,78.2,6.9,1.3,5.7,11.1,2,15.5,3.4,67699,4.2
33,Near South Side,21.4,8.8,78.1,10.9,50.9,4.8,11.1,1.4,21,7.1,60593,5.7
34,Armour Square,11.5,12.4,79.1,11.8,16.2,1.5,35.8,5.9,37.9,37.5,16942,11.6
35,Douglas,10.3,11.7,76,10.2,34.2,13.4,26.1,1.6,31,16.9,23098,16.7
36,Oakland,17.5,13.5,75,11.5,54.5,8.2,38.1,3.5,40.5,17.6,19312,26.6
37,Fuller Park,11.9,17.1,71.4,14.3,69.2,22.6,55.5,4.5,38.2,33.7,9016,40
38,Grand Boulevard,14.3,12.7,74.2,13.7,54.8,12.1,28.3,2.7,41.7,19.4,22056,20.6
39,Kenwood,12.2,11.4,77.6,11.9,25.7,8.9,23.1,2.3,34.2,10.8,37519,11
40,Washington Park,19.3,17.7,74.9,16.9,82.6,19.3,39.1,4.9,40.9,28.3,13087,23.2
41,Hyde Park,9.7,5.9,80.3,5.5,7.6,10.4,18.2,2.5,26.7,5.3,39243,6.9
42,Woodlawn,15.1,17.4,73.3,16.3,51.1,11.5,28.3,1.8,37.6,17.9,18928,17.3
43,South Shore,15.7,13.8,71.9,13.4,65.9,11.4,31.5,2.9,37.6,14.9,18366,17.7
44,Chatham,14.4,15.4,72.5,15.6,68.2,10.9,25.3,2.2,40,13.7,20320,19
45,Avalon Park,13.3,19.7,74.5,14.6,63.9,11.4,16.7,0.6,41.9,13.3,23495,16.6
46,South Chicago,18.1,13,75.3,15.1,76.8,17.7,28,5.9,43.1,28.2,15393,17.7
47,Burnside,12.9,7.9,68.4,13.2,68.7,13,22.5,5.5,40.4,18.6,13756,23.4
48,Calumet Heights,10,9.3,75,16.4,39.3,13.9,12,1.8,42.3,11.2,28977,17.2
49,Roseland,14.3,12.2,69,12.8,79.7,9.6,19.5,3.1,40.9,17.4,17974,17.8
50,Pullman,14.3,11.2,81.3,12.1,67.9,13.6,20.1,1.4,42,15.6,19007,21
51,South Deering,15.8,14.9,76.9,15.7,65.3,11.8,24.5,6,41.4,21.9,15506,11.8
52,East Side,17.7,6.4,73.3,11,53,3.7,18.7,8.3,42.5,35.5,15347,14.5
53,West Pullman,15.3,14.9,71.3,14.4,67.8,11.9,24.3,3.3,42.2,22.6,16228,17
54,Riverdale,12.5,15.3,74.1,16.5,64.5,8.7,61.4,5.1,50.2,24.6,8535,26.4
55,Hegewisch,13.7,7.7,66.9,13.1,47.1,8.4,12.1,4.4,41.6,17.9,22561,9.6
56,Garfield Ridge,13.4,8,81.7,9.5,33.7,4.5,9,2.6,39.5,19.4,24684,8.1
57,Archer Heights,18.1,8.7,74.3,10,50.3,5.2,13,8.5,40.5,36.4,16145,14.2
58,Brighton Park,20.6,7.2,82.7,8.3,58.1,5.9,23,13.2,39.8,48.2,13138,11.2
59,McKinley Park,16.7,7.3,80.5,9.9,47.9,7.3,16.1,6.9,33.7,31.8,17577,11.9
60,Bridgeport,11.7,8,80.3,11.4,28.4,8,17.3,4.8,32.3,25.6,24969,11.2
61,New City,21.4,11.8,75.9,12.2,94.3,7.9,30.6,12.2,42,42.4,12524,17.4
62,West Elsdon,20.8,4.6,81.2,7.5,45.5,8.1,9.8,8.7,38.7,39.6,16938,13.5
63,Gage Park,21.8,6.8,80.4,6.8,61.4,5.4,20.8,17.4,40.4,54.1,12014,14
64,Clearing,14.6,7.4,85.8,8,38.7,6.7,5.9,3.4,36.4,18.5,23920,9.6
65,West Lawn,18.8,7.6,83.5,8.3,44.6,8.4,15.3,6.8,41.9,33.4,15898,7.8
66,Chicago Lawn,20.1,9.4,78.4,10.8,67.4,11.1,22.2,6.5,40,31.6,14405,11.9
67,West Englewood,20.3,16.1,63.6,13.8,116.9,13.3,32.3,6.9,40.9,30.3,10559,34.7
68,Englewood,20,14.5,69.7,13.1,105.3,13.4,42.2,4.8,43.4,29.4,11993,21.3
69,Greater Grand Crossing,18.2,12.9,72.3,15.1,84.3,14.2,25.6,4.2,42.9,17.9,17213,18.9
70,Ashburn,14.7,9,82.4,11.3,38.3,10.2,9.5,4.2,36.7,18.3,22078,8.8
71,Auburn Gresham,15.1,11.6,71.8,13.9,83.1,15.6,24.5,4.1,42.1,19.5,16022,24.2
72,Beverly,11,4.9,84.8,9.9,11.9,10,5.2,0.7,38.7,5.1,40107,7.8
73,Washington Heights,12,19.6,75.4,16.2,65,11.2,15.7,1.1,42.4,15.6,19709,18.3
74,Mount Greenwood,12.5,8.4,94.5,15.1,7.7,3.3,3.1,1.1,37,4.5,34221,6.9
75,Morgan Park,13.2,10.6,74.5,12.3,46.7,13.1,13.7,0.8,39.4,10.9,26185,14.9
76,O'Hare,15.8,3.5,82,5,15.9,2,9.5,1.9,26.5,11,29402,4.7
77,Edgewater,12.1,7.5,76.1,7.4,15.1,6.9,16.6,3.9,23.4,9,33364,9
