id,dateAdded,dateUpdated,address,categories,primaryCategories,city,country,keys,latitude,longitude,name,postalCode,province,sourceURLs,websites
AVwdY0qUByjofQCxolhq,2017-04-18T01:13:48Z,2019-05-18T22:24:57Z,2701 N Western Ave,"Restaurant,Burger Joint,Carry-out food,Hot dog restaurants,Fast Food Restaurant,American restaurants,Hamburger restaurants,Fast Food,Karaoke,Fast food restaurants,Restaurants",Accommodation & Food Services,Chicago,US,us/il/chicago/2701nwesternave/-2061630068,41.9307,-87.6876,Burger King,60647,IL,"https://foursquare.com/v/burger-king/4b0db770f964a520854e23e3,https://www.trip.com/chicago/restaurants/burger-king_22,http://www.citysearch.com/profile/35756769/chicago_il/burger_king.html,http://www.yellowbook.com/profile/burger-king_1854309957.html,http://www.yellowbook.com/profile/burger-king_1891370516.html",https://locations.bk.com/il/chicago/2701-n-western-ave.html
AWrIoaRkcuP9ADUBCL7Q,2019-05-18T01:49:57Z,2019-05-18T01:49:57Z,600 N Clark,"Fast Food,Restaurants,Breakfast,Ice Cream Parlors,Coffeehouses,Hamburgers,Salads,Sandwich Shops",Accommodation & Food Services,Chicago,US,us/il/chicago/600nclark/-1161002137,41.8929,-87.6316,McDonald's,60610,IL,http://www.citysearch.com/profile/41742390/chicago_il/mc_donald_s.html,https://www.mcdonalds.com/us/en-us/location/IL/CHICAGO/600-N-CLARK/6676.html?cid=RF:YXT:RoN::Clicks
AVwdmKq4IN2L1WUfxYMJ,2016-03-23T03:21:30Z,2019-05-18T01:49:53Z,3020 S Halsted St,"Ice Cream Parlors,Breakfast,American,Burgers,Fast Food,Restaurants,Restaurant,Fast Food Restaurant,Coffeehouses,Salads,Hamburgers,Fast Food Restaurant Bridgeport,Sandwich Shops",Accommodation & Food Services,Chicago,US,us/il/chicago/3020shalstedst/-1161002137,41.8389,-87.6468,McDonald's,60608,IL,"https://www.trip.com/chicago/restaurants/mcdonalds_5,https://www.allmenus.com/il/chicago/212248-mcdonalds/menu/,https://www.trip.com/reviews/paginate_for_place%252525253Fpage%252525253D1%2525252526place_type%252525253DRestaurant%2525252526place_id%252525253D4000000524071%2525252526tripe_ids%252525253D0%2525252526country_code%252525253Dus,https://foursquare.com/v/mcdonalds/4b7960eef964a52099f62ee3/menu,http://tripadvisor.com/Restaurant_Review-g35805-d4200474-Reviews-McDonald_s-Chicago_Illinois.html,http://www.citysearch.com/profile/36756803/chicago_il/mc_donald_s.html","https://www.mcdonalds.com/us/en-us/location/IL/CHICAGO/3020-S-HALSTED-ST/17974.html?cid=RF:YXT:RoN::Clicks,http://mcdonalds.com"
AWkq_lQrIxWefVJwIeM1,2019-02-26T17:44:00Z,2019-05-17T19:24:16Z,701 W 31st Street,"Pizza,American Restaurants,Hot Dog Stands and Restaurants,Take Out Restaurants,Fast Food Restaurants,Restaurants,Italian Restaurants,Sandwich Shops",Accommodation & Food Services,Chicago,US,us/il/chicago/701w31ststreet/-1538788130,41.83783,-87.644,Freddie's,60616,IL,https://www.yellowpages.com/chicago-il/mip/freddies-11164038,"http://freddieson31st.com,http://freddieson31st.com/"
AWoQXKRxZ4Yw-wtdTOTB,2019-04-12T06:43:41Z,2019-05-15T15:05:17Z,645 N McClurg Ct,"Ice Cream Parlors,Breakfast,Fast Food Restaurant,Fast Food,Coffeehouses,Salads,Hamburgers,Restaurants,Sandwich Shops",Accommodation & Food Services,Chicago,US,us/il/chicago/645nmcclurgct/-1161002137,41.894,-87.6176,McDonald's,60611,IL,"https://foursquare.com/v/mcdonalds/4bec3ce2415e20a16249e7bb,http://www.citysearch.com/profile/36760492/chicago_il/mc_donald_s.html","http://mcdonalds.com/,http://mcdonalds.com,https://www.mcdonalds.com/us/en-us/location/IL/CHICAGO/645-N-MCCLURG-CT/7690.html?cid=RF:YXT:RoN::Clicks"
AVzA84IdLD2H7whiWG-G,2017-06-19T15:23:23Z,2019-05-14T19:49:28Z,5733 S Kedzie Ave,"Ice Cream Parlors,Carry-out food,Breakfast,Hot dog restaurants,Hamburger restaurants,Fast Food,Restaurants,Restaurant,Fast Food Restaurant,Coffeehouses,Salads,Hamburgers,Sandwich Shops",Accommodation & Food Services,Chicago,US,us/il/chicago/5733skedzieave/-1161002137,41.7886,-87.7032,McDonald's,60629,IL,"https://foursquare.com/v/mcdonalds/4c0701940ed3c92821fc787d,https://www.allmenus.com/il/chicago/212277-mcdonalds/menu/,http://www.yellowbook.com/profile/mcdonalds_1889254834.html,https://foursquare.com/v/mcdonalds/4c0701940ed3c92821fc787d/menu,http://www.citysearch.com/profile/36776831/chicago_il/mc_donald_s.html","http://mcdonalds.com/,https://www.mcdonalds.com/us/en-us/location/IL/CHICAGO/5733-S-KEDZIE-AVE/335.html?cid=RF:YXT:RoN::Clicks"
AWmfAd-Sa4HuVbedolM4,2019-03-21T05:00:55Z,2019-05-14T08:22:00Z,4901 W North Avenue,Fast Food,Accommodation & Food Services,Chicago,US,us/il/chicago/4901wnorthavenue/-791445730,41.9092,-87.7488,Wendy's,60639,IL,http://www.citysearch.com/profile/43585053/chicago_il/wendy_s.html,https://locations.wendys.com/united-states/il/chicago/4901-w-north-avenue
AWme_ozQ3-Khe5l_7ERF,2019-03-21T05:07:35Z,2019-05-14T08:18:12Z,5852 S Western Avenue,"Fast Food,Chicken,Restaurants",Accommodation & Food Services,Chicago,US,us/il/chicago/5852swesternavenue/106088,41.7868,-87.6843,KFC,60636,IL,http://www.citysearch.com/profile/36780806/chicago_il/kfc.html,https://www.kfc.com/store-locator?query=60636
AVwdLXNKkufWRAb53GlC,2016-03-24T10:14:57Z,2019-05-13T11:28:00Z,615 W Lake St,"Delis And Delicatessens,Take Out,Delicatessens,Fast Food Restaurant,wich Place,Fast Food Restaurants,Sandwich Place,Restaurants,Sandwich Shops",Accommodation & Food Services,Chicago,US,us/il/chicago/615wlakest/-891525969,41.8856,-87.6434,Subway,60661,IL,"https://foursquare.com/v/subway/4ad3c8caf964a5204fe620e3,http://www.citysearch.com/profile/43582484/chicago_il/subway.html,https://foursquare.com/v/subway/4ad3c8caf964a5204fe620e3/menu",http://subway.com/
AVwd7ASSkufWRAb5-a1I,2015-10-23T03:25:56Z,2019-04-30T15:26:34Z,3154 W 103rd St,"Carry-out food,Delicatessens,Fast Food Restaurant,wich Place,Sandwiches,Sandwich Place,Restaurants",Accommodation & Food Services,Chicago,US,us/il/chicago/3154w103rdst/-891525969,41.706776,-87.700392,Subway,60655,IL,"http://www.yellowbook.com/profile/subway_1862390397.html,https://foursquare.com/v/subway/4c7a1b53794e224b8dc26728/menu,https://foursquare.com/v/subway/4c7a1b53794e224b8dc26728","http://subway.com/,http://subway.com"
