Id2,White,Black,American Indian/Alaskan Native,Asian/Pacific Islander,Hispanic/Latino
17031010100,1726,2059,0,33,410
17031010201,2217,2775,64,121,1627
17031010202,818,726,0,185,717
17031010300,2930,1774,6,365,1204
17031010400,3476,1125,0,295,390
17031010501,1975,1335,0,211,396
17031010502,1516,647,0,225,169
17031010503,1238,140,0,282,281
17031010600,3330,1367,0,138,1492
17031010701,1291,704,0,452,1359
17031010702,1472,1226,0,344,2087
17031020100,952,1052,0,996,947
17031020200,3595,990,0,990,1137
17031020301,3896,188,10,703,408
17031020302,2885,647,0,543,728
17031020400,1813,1019,0,738,814
17031020500,1042,979,0,1922,1961
17031020601,3461,625,140,1313,387
17031020602,1886,457,0,1151,940
17031020701,1121,64,0,275,219
17031020702,3707,724,0,1512,1733
17031020801,2276,110,0,1210,1413
17031020802,2068,621,0,3599,1032
17031020901,1334,1216,0,1256,1772
17031020902,2137,509,0,992,765
17031030101,1695,758,0,167,814
17031030102,1479,485,12,284,297
17031030103,1067,360,5,434,287
17031030104,1827,320,0,590,462
17031030200,3899,318,2,218,584
17031030300,1256,185,15,502,1276
17031030400,1285,297,29,199,804
17031030500,4001,246,0,430,1666
17031030601,2094,734,0,399,762
17031030603,725,691,52,242,279
17031030604,1320,726,0,849,192
17031030701,792,387,9,250,152
17031030702,611,104,0,228,31
17031030703,1505,534,0,122,381
17031030706,2306,641,0,967,296
17031030800,3127,167,0,400,609
17031030900,1796,493,0,304,434
17031031000,2764,179,0,330,640
17031031100,2931,118,12,528,954
17031031200,2819,1229,13,694,804
17031031300,3693,1758,23,1584,862
17031031400,3399,615,4,473,382
17031031501,1423,1168,0,835,443
17031031502,1387,1838,0,282,856
17031031700,3851,1653,56,312,844
17031031800,1367,39,0,173,172
17031031900,1783,84,10,173,383
17031032100,4575,443,0,291,1560
17031040100,2653,214,26,160,771
17031040201,4050,249,1,796,1694
17031040202,3133,367,0,1832,1403
17031040300,1529,110,0,803,389
17031040401,2068,195,0,210,631
17031040402,4040,68,0,365,409
17031040600,2062,98,0,48,447
17031040700,2226,88,0,187,583
17031040800,1337,70,0,112,168
17031040900,1664,40,0,39,100
17031050100,2080,95,38,158,228
17031050200,3987,171,0,215,540
17031050300,1587,0,25,329,591
17031050500,5259,45,0,202,418
17031050600,1965,5,0,154,108
17031050700,1443,5,4,59,53
17031050800,1231,12,0,25,178
17031050900,1089,7,0,119,183
17031051000,1111,70,0,121,431
17031051100,1265,0,0,46,315
17031051200,1203,149,0,52,156
17031051300,2450,0,0,93,186
17031051400,1332,59,0,91,125
17031060100,2179,112,0,84,348
17031060200,1596,29,0,129,456
17031060300,2844,32,12,242,268
17031060400,3058,27,22,197,502
17031060500,876,76,0,95,225
17031060800,3903,187,0,367,253
17031060900,5168,461,45,310,1307
17031061000,1542,31,0,122,357
17031061100,1289,29,0,70,28
17031061200,1601,22,0,90,161
17031061500,1613,32,0,64,140
17031061800,806,66,0,94,154
17031061901,2494,91,51,542,264
17031061902,3825,118,20,325,101
17031062000,2473,190,0,148,154
17031062100,2951,108,0,283,323
17031062200,2363,129,0,124,208
17031062300,1414,25,0,107,94
17031062400,1267,27,0,59,36
17031062500,1305,0,0,108,134
17031062600,1808,33,0,218,143
17031062700,2414,0,18,75,217
17031062800,3070,35,9,196,272
17031062900,3458,148,0,171,99
17031063000,2377,162,0,377,216
17031063100,1886,19,0,116,110
17031063200,5693,189,0,503,509
17031063301,1936,264,0,145,102
17031063302,3252,88,0,416,310
17031063303,1110,19,0,98,64
17031063400,1831,85,0,117,174
17031070101,3069,75,0,205,159
17031070102,2248,122,0,150,296
17031070103,1252,109,0,117,100
17031070200,3229,234,0,380,170
