"uid","store_name","license_id","account_number","square_feet","buffer_size","address","zip_code","community_area_name_x","community_area_x","ward","census_tract","census_block","x_coordinate","y_coordinate","latitude","longitude","location","community_areas","zip_codes","boundaries_zip_codes","census_tracts","wards","computed_region_awaf_s7ux","KEY","community_area_y","community_area_name_y","birth_rate","low_birth_weight","prenatal_care_beginning_in_first_trimester","preterm_births","teen_birth_rate","infant_mortality_rate","below_poverty_level","crowded_housing","dependency","no_high_school_diploma","per_capita_income","unemployment"
0,"BOB'S LIQUORS & GROCERIES",957,86492,10001,"A","5069 W MADISON ST",60644,"AUSTIN",25,28,17031252201,170312522011000,1142425.32654312,1899505.11389854,41.8802960895,-87.7524941982,"(41.8802960895, -87.7524941982)",26,22216,32,184,23,11,"austin",25,"Austin",18,15.4,72.9,14.3,81.8,13.3,27,5.7,39,25,15920,21
1,"QUICK STOP FOOD MART",39791,3604,3000,"B","2751 W PRATT BLVD",60645,"WEST RIDGE",2,50,17031020601,170310206011001,1156542.5273664,1944958.74825593,42.0047500731,-87.6994227766,"(42.0047500731, -87.6994227766)",20,22528,12,40,27,42,"westridge",2,"West Ridge",17.3,8.1,71.1,8.3,29.9,5.1,15.1,7,38.3,19.6,21375,7.9
2,"DOMINICK'S #147/1147",41674,5033,68000,"A","1340 S CANAL ST",60607,"NEAR WEST SIDE",28,2,17031841900,170318419002092,1173296.12262846,1893985.70498834,41.8645211937,-87.6393040996,"(41.8645211937, -87.6393040996)",29,14917,44,97,48,48,"nearwestside",28,"Near West Side",18.2,9,77.6,10.5,36.7,9.1,21.6,3.8,22.9,11.2,41488,10.7
3,"CERMAK PRODUCE",1515206,279468,25000,"A","5220 S PULASKI RD",60632,"WEST ELSDON",62,23,17031620200,170316202001000,1150549.39787222,1869568.67445652,41.79799187,-87.7234437408,"(41.79799187, -87.7234437408)",60,22248,56,793,6,35,"westelsdon",62,"West Elsdon",20.8,4.6,81.2,7.5,45.5,8.1,9.8,8.7,38.7,39.6,16938,13.5
4,"WHOLE FOODS MARKET",54059,86298,4501,"B","3300 N ASHLAND AVE",60657,"LAKE VIEW",6,44,17031062500,170310625001000,1165027.79669245,1921997.10688756,41.9415658578,-87.6688604029,"(41.9415658578, -87.6688604029)",57,4449,22,742,18,38,"lakeview",6,"Lake View",13.5,6.3,79.1,8.1,15.8,2.2,10.5,1.2,16.5,2.9,58227,4.7
5,"PATEL BROS",25338,88729,5000,"B","2610 W DEVON AVE",60659,"WEST RIDGE",2,50,17031020602,170310206023013,1157695.36686563,1942415.31640095,41.9977473006,-87.6952511581,"(41.9977473006, -87.6952511581)",20,4450,12,41,27,42,"westridge",2,"West Ridge",17.3,8.1,71.1,8.3,29.9,5.1,15.1,7,38.3,19.6,21375,7.9
6,"OHIO FOOD MART",1225367,243092,3500,"B","5345 W OHIO ST",60644,"AUSTIN",25,37,17031251500,170312515002004,1140427.88626328,1903410.30575405,41.8910492873,-87.7597328373,"(41.8910492873, -87.7597328373)",26,22216,32,673,45,4,"austin",25,"Austin",18,15.4,72.9,14.3,81.8,13.3,27,5.7,39,25,15920,21
7,"JOE'S FOOD & LIQUOR",822,154,3500,"B","3626 W LAWRENCE AVE",60625,"ALBANY PARK",14,39,17031140301,170311403011011,1151203.15888107,1931689.47933088,41.968445246,-87.7194165758,"(41.968445246, -87.7194165758)",14,21849,20,120,12,28,"albanypark",14,"Albany Park",18.3,8.5,73.3,8.3,44.5,4.9,17.1,11.2,32.1,34.9,20355,9
8,"TWO BLUE FOODS INC",66710,20549,3000,"B","702 E 100TH PL",60628,"PULLMAN",50,8,17031500100,170315001004015,1183074.98399329,1838632.19308853,41.712403787,-87.6051275894,"(41.712403787, -87.6051275894)",47,21861,19,643,35,9,"pullman",50,"Pullman",14.3,11.2,81.3,12.1,67.9,13.6,20.1,1.4,42,15.6,19007,21
9,"JEWEL FOOD STORE #3349",1353385,259,64285,"A","2520 N NARRAGANSETT AVE",60639,"BELMONT CRAGIN",19,36,17031831500,170318315001045,1133277.02148019,1916208.36537167,41.9262969563,-87.785694824,"(41.9262969563, -87.785694824)",19,22615,3,137,44,39,"belmontcragin",19,"Belmont Cragin",20,6.9,74.1,7.6,68.2,5.6,18.6,10,36.9,37,15246,11.5
