address,categories,city,cuisines,latitude,longitude,name,neighborhoods,postalCode
2058 E 71st Street,"Sandwich Shops,Fast Food Restaurants,Mediterranean Restaurants,Restaurants",Chicago,"Sandwich Shops,Fast Food Restaurants,Mediterranean Restaurants,Restaurants,Mediterranean,Sandwiches,Fast Food",41.76629,-87.57427,24 Hr Gyros Subs,"South Shore,Far South Chicago",60649
2714 W Montrose Ave,"Filipino Restaurants,Take Out Restaurants,Fast Food Restaurants,Family Style Restaurants,Restaurants,Asian Restaurants,Restaurant,Home Cooking Restaurants,Disc Jockeys,Bands & Orchestras,Asian Restaurant,Supermarkets & Super Stores,Barbecue Restaurants,Musicians",Chicago,,41.961293,-87.696666,3 R's Oriental Food,"Ravenswood, North Side, Ravenswood Manor",60618
7036 N Clark Street,"American Restaurants,Bar and Grills,Breakfast Brunch and Lunch Restaurants,,Fast Food Restaurants,Mexican Restaurants,Restaurant Delivery Service,Restaurants,Take Out Restaurants",Chicago,"American Restaurants,Bar and Grills,Breakfast Brunch and Lunch Restaurants,,Fast Food Restaurants,Mexican Restaurants,Restaurant Delivery Service,Restaurants,Take Out Restaurants,Mexican,Latin American,Omelets",42.0101,-87.6743,A T Pancake House Grill,"North Side,Rogers Park",60626
2804 N Western Ave,"Pizza,Restaurant,Meat-retail,Steak and chop restaurants,Fast Food Restaurant,Food Stores,Fast Food Restaurant Northwest Side,Restaurants",Chicago,"Pizza,Steakhouse,Sandwich Shop",41.932911,-87.688217,Al's Beef,Avondale,60618
2534 N Clark St,"Caterers,Fast Food Restaurants,Polynesian,Open 7 Days,Visa Accepted,Asian Restaurants,Cheap Eats,Hawaiian,Barbecue Restaurants,American Express Accepted,Hamburgers,Discover Accepted,Breakfast,Breakfast Brunch and Lunch Restaurants,,Fast Food,Family Style Restaurants,Family-Friendly Dining,Hawaiian Restaurant,Restaurants,Mastercard Accepted,Hawaiian Restaurants,Restaurant,Lunch Spot,Quiet,Local Favorite,Hamburgers and Hot Dogs,Catering,Hidden Find",Chicago,"Caterers,Breakfast,American,Burgers,Fast Food Restaurants,Breakfast Brunch and Lunch Restaurants,,Fast Food,Family Style Restaurants,Brunch and Lunch,Polynesian,Asian,Restaurants,Hawaiian Restaurants,Asian Restaurants,Family Style,Quick Bites,Hot Dogs,Hawaiian,Barbecue Restaurants,Barbecue,Hamburgers and Hot Dogs,Hamburgers",41.9287,-87.6426,Aloha Eats,"Park West,North Side,Lincoln Park",60614
26 E Randolph Street,"American Restaurants,Hot Dog Stands and Restaurants,Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants",Chicago,"American Restaurants,Hot Dog Stands and Restaurants,American,Burgers,Hot Dogs,Fast Food Restaurants,Fast Food,Hamburgers and Hot Dogs,Restaurants",41.88459,-87.62666,America's Dog,"Central Chicago,The Loop",60601
6355 N Pulaski Rd,"Restaurant,American,Fast Food Restaurant and American Restaurant North Park,Turkish restaurants,Fast Food Restaurant,American Restaurant,Fast Food Restaurant and American Restaurant,Armenian restaurants,Greek restaurants,Greek,Restaurants",Chicago,"American,Greek",41.9971,-87.7289,Backyard Grill,Chicago,60646
100 W Ontario Street,"American Restaurants,Italian,Caterers,Fast Food Restaurants,Restaurants,Italian Restaurants",Chicago,"American Restaurants,Italian,Caterers,Fast Food Restaurants,Restaurants,Italian Restaurants",41.89366,-87.63157,Barnelli's Pasta Bowl,"Central Chicago,Near North Side,River North",60654
229 W Jackson Blvd,"Ice Cream & Frozen Desserts,Restaurant,Fast Food,Dessert Restaurants,Restaurants",Chicago,"Fast Food,Dessert",41.877876,-87.63489,Baskin-Robbins,"Central Chicago, The Loop",60606
31 E Adams St,"Ice Cream Parlors,Ice Cream & Frozen Desserts,Restaurant,Fast Food,Dessert Restaurants,Restaurants,Frozen Yogurt Shops,Ice Cream Shop",Chicago,"Fast Food,Dessert",41.878186,-87.628934,Baskin-Robbins,"Central Chicago, The Loop",60603
